"","Individual","Collective","Mean_800","Mean_1250","Mean_2000","Jewish_segment","JLR_station","Damascus_Gate_dis","With_settlements","con800"
"1",0,0,280.231057913043,443.299691391304,758.569201782609,0,0,11496.9103153964,0,81
"2",0,0,378.919933793103,675.043810862069,1305.77692389655,0,0,11414.2804856801,0,89
"3",0,0,14.3319314,48.5337670166667,186.919894,0,0,11353.0896232781,0,5
"4",0,0,75.2366849967742,135.381125854839,222.287407125806,0,0,11006.0724091879,0,27
"5",0,0,135.633269913043,271.122902371014,537.69276502174,0,0,10919.729036603,0,47
"6",0,0,157.185352607143,336.36598475,827.032926392857,0,0,10855.7508914729,0,54
"7",0,0,137.376013135135,288.308824945946,621.262380648649,0,0,10814.534914707,0,47
"8",0,0,NA,NA,NA,0,0,10629.2730981407,0,NA
"9",0,0,61.5832776666667,97.0940298888889,116.869361111111,0,0,10516.0974808512,0,23
"10",0,0,92.0853590084746,169.777286933898,443.859818352542,0,0,10425.6970379702,0,33
"11",0,0,280.3469944,568.926239507692,1126.16420130769,0,0,10358.6680659228,0,81
"12",0,0,324.062267661765,585.471766294117,853.707406308824,0,0,10315.4661714629,0,85
"13",0,0,41.5688247590909,59.7927268363636,87.9374770681818,0,0,10027.1120394552,0,17
"14",0,0,70.0559252032258,136.736887422581,329.384651996774,0,0,9932.26200268206,0,25
"15",0,0,183.469321143478,447.720096173913,826.335690956522,0,0,9861.87984316519,0,63
"16",0,0,405.71899145045,717.383571549549,924.532316855856,0,0,9816.49186296074,0,91
"17",0,0,565.03552,694.64594,889.68781,0,0,9796.44546920946,0,95
"18",0,0,NA,NA,NA,0,0,9539.2682503088,0,NA
"19",0,0,72.7531114913043,126.224546771739,236.381970667391,0,0,9439.51754699544,0,27
"20",0,0,71.97760148125,114.495433195833,204.830058602083,0,0,9365.43310482208,0,26
"21",0,0,458.087610752381,675.248514995238,906.05781482619,0,0,9317.6271606257,0,93
"22",0,0,344.588901453333,630.862201266667,967.074904706667,0,0,9296.5051222613,0,87
"23",0,0,82.9857800666667,225.304815666667,448.837019333333,0,0,8947.57776260156,0,31
"24",0,0,121.767854308772,187.292161917544,334.672152947368,0,0,8869.38519287345,0,42
"25",0,0,48.957701284,106.59885848,300.028821,0,0,8818.89066499447,0,19
"26",7,22,94.2646771,244.77912155,554.502778825,0,0,8796.57117177817,0,34
"27",0,0,97.9812823285714,212.646613714286,445.956794428571,0,0,8456.58307966309,0,35
"28",0,12,57.5667292929825,100.236830326316,251.353429877193,0,0,8373.80698469784,0,22
"29",0,0,75.459594,186.4500742,522.643761,0,0,8320.3054310325,0,28
"30",0,0,92.8142534866667,160.883369133333,334.540853466667,0,0,7966.70824220022,0,33
"31",0,0,105.519365960714,206.797592796428,484.281235107143,0,0,7878.78711434566,0,38
"32",0,0,74.1629146888889,176.826619091111,500.547971111111,0,0,7821.90038405103,0,27
"33",0,0,10.801396,23.873009,65.293327,0,0,7796.72738195185,0,3
"34",0,0,110.5656614,277.222989,639.9469322,0,0,7384.4378681235,0,39
"35",0,0,148.611235874138,291.944662637931,772.84174724138,0,0,7323.71231126867,0,52
"36",0,0,314.315908642857,654.393814357143,1366.53006067857,0,0,7296.82084642987,0,84
"37",0,0,78.4567154533333,140.68346719,386.0277111,0,0,6890.903578048,0,29
"38",0,0,182.666800446154,325.814555838462,670.128776323077,0,0,6825.78872118483,0,63
"39",0,0,440.118502466667,830.500169616667,1523.71515801667,0,0,6796.92756296116,0,92
"40",0,0,157.247844,355.044348333333,652.970568166667,0,0,6804.78140541403,0,54
"41",0,0,127.903863896386,196.470504668675,375.348930337349,1,0,6849.22394633421,0,44
"42",0,0,130.062182225,191.439123041667,270.198858483333,1,0,6929.55123378285,0,46
"43",0,0,117.108364162162,140.902898843243,200.284441824324,1,0,7044.53581236887,0,41
"44",0,0,175.708683564516,363.272270112903,757.985916919355,0,0,6398.37283022177,0,61
"45",0,14,185.768711585714,382.941747371429,757.395085528571,0,0,6328.19204529521,0,64
"46",0,7,401.284490487342,815.795221607595,1650.78542909494,0,0,6297.05068760116,0,90
"47",0,0,231.271810292308,484.856676638462,1086.75737448461,1,0,6305.52719751821,0,73
"48",0,4,166.445363905357,321.379224410714,630.336639892857,1,0,6353.46300486751,0,58
"49",0,0,179.039020036364,253.860967690909,379.728126336364,1,0,6439.97702167361,0,62
"50",0,0,108.069715238983,135.275049374576,190.594896837288,1,0,6563.54392288234,0,39
"51",0,0,16.212808,22.6419385,35.830204,1,0,6722.12067985027,0,6
"52",0,0,85.1672960654545,172.347616547273,468.362762454545,0,0,5907.09665452198,0,32
"53",0,0,229.162886790678,521.818729576271,1149.79168662712,0,0,5831.00597717498,0,73
"54",0,51,437.887364410257,931.957665017094,1833.55970305983,0,0,5797.19446483766,1,92
"55",0,0,165.788449473759,313.922662992908,928.105203255319,1,0,5806.40075447977,0,57
"56",0,1,175.320520069767,276.233822139535,454.947091302326,1,0,5858.42204386807,0,61
"57",0,0,141.119936438028,230.217277573239,356.392066953521,1,0,5952.13583189184,0,49
"58",0,0,49.2939179875,95.054691203125,171.812629396875,1,0,6085.61632094617,0,20
"59",0,0,NA,NA,NA,1,0,6256.3187174292,0,NA
"60",0,0,108.412722055224,276.421666544776,770.276995970149,0,0,5417.41637277373,0,39
"61",0,4,298.576473043103,660.12555137069,1219.42945043966,0,0,5334.34532978479,0,83
"62",0,4,585.878428023529,1152.33588832941,2261.68097892941,0,0,5297.36474097108,0,95
"63",0,15,218.369435064198,509.856285049383,1357.0352448642,0,0,5307.43812251922,0,71
